#F1	F2	d
MZ22527108	MZ22517469	0.2353
MZ22523896	MZ22517173	0.4830
MZ22528780	MZ22503775	0.3007
MZ22505225	MZ22515227	0.4230
MZ22511002	MZ22500710	0.3497
MZ22529812	MZ22517451	0.1145
MZ22517834	MZ22504907	0.6991
MZ22527508	MZ22501918	0.0910
MZ22530182	MZ22518721	0.1545
MZ22530310	MZ22502076	0.3118
MZ22519631	MZ22516300	0.3764
MZ22528329	MZ22506500	0.2385
MZ22526677	MZ22505122	0.4486
MZ22526437	MZ22518557	0.2457
MZ22524910	MZ22501973	0.3262
MZ22514715	MZ22501260	0.2799
MZ22527676	MZ22522951	0.2577
MZ22525037	MZ22510765	0.2067
MZ22524252	MZ22512863	0.6175
MZ22529299	MZ22511521	0.6525
MZ22525339	MZ22510252	0.3796
MZ22526316	MZ22511334	0.2572
MZ22516301	MZ22500618	0.1509
MZ22514170	MZ22503295	0.2328
MZ22511767	MZ22501080	0.6382
MZ22527673	MZ22510244	0.3415
MZ22528891	MZ22502912	0.2272
MZ22516180	MZ22507223	0.6687
MZ22526977	MZ22502085	0.1269
MZ22524185	MZ22522177	0.2776
MZ22509408	MZ22509181	0.0950
MZ22527616	MZ22525783	0.1042
MZ22520520	MZ22501481	0.3794
MZ22529947	MZ22510768	0.5101
MZ22529055	MZ22506312	0.3161
MZ22526257	MZ22523885	0.0662
MZ22526141	MZ22509977	0.0754
MZ22526031	MZ22515942	0.1120
MZ22526888	MZ22513969	0.1474
MZ22527402	MZ22516685	0.1459
MZ22531064	MZ22508258	0.0940
MZ22512674	MZ22503814	0.9611
MZ22514944	MZ22505075	0.7817
MZ22527077	MZ22516553	0.0631
MZ22527449	MZ22506066	0.1058
MZ22529007	MZ22507550	0.5886
MZ22506540	MZ22501297	0.3200
MZ22530861	MZ22514772	0.4450
MZ22521978	MZ22519981	0.4000
MZ22520100	MZ22503815	0.4949
MZ22509126	MZ22502620	0.6514
MZ22501511	MZ22500013	0.2509
MZ22515885	MZ22506282	0.1439
MZ22517860	MZ22507214	0.2166
MZ22511679	MZ22511587	0.1552
MZ22516230	MZ22506207	0.6447
MZ22517718	MZ22506911	0.6160
MZ22522259	MZ22510496	0.5268
MZ22523688	MZ22500881	0.3132
MZ22524747	MZ22502418	0.2739
MZ22529178	MZ22505504	0.3418
MZ22518611	MZ22518390	0.1506
MZ22530994	MZ22518108	0.2387
MZ22525519	MZ22510550	0.2949
MZ22521983	MZ22516438	0.6787
MZ22529049	MZ22500693	0.9329
MZ22524270	MZ22519304	0.0799
MZ22523611	MZ22507405	0.5903
MZ22524195	MZ22506122	0.0659
MZ22514788	MZ22503886	0.1228
MZ22512486	MZ22502549	0.2215
MZ22518350	MZ22506152	0.5893
MZ22517117	MZ22505592	0.2709
MZ22509543	MZ22500310	0.2211
MZ22530940	MZ22527176	0.5667
MZ22520737	MZ22518797	0.6241
MZ22510001	MZ22501608	1.0095
