F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22528597	MZ22513334	0	0.064228	0.941176	0.743092	0.848866	-0.105774	
MZ22528743	MZ22522532	0	1.000000	0.768608	0.766663	0.795831	-0.029167	
MZ22520185	MZ22521381	14	0.333333	0.582084	0.532204	0.538187	-0.005983	
MZ22524065	MZ22525160	60	0.194004	-0.108248	1.000000	-0.024289	1.024289	
MZ22528405	MZ22515097	19	-0.146848	0.168061	0.144481	0.131013	0.013468	
MZ22528472	MZ22519883	0	0.666667	0.159592	0.166402	0.249076	-0.082674	
MZ22509954	MZ22507549	0	0.822823	0.640358	0.495253	0.697378	-0.202125	
MZ22521951	MZ22520299	16	0.750608	0.362536	0.888889	0.448774	0.440115	
MZ22527715	MZ22524202	1	-0.250000	0.969778	0.788284	0.664834	0.123451	
MZ22522919	MZ22506943	52	-0.006484	0.018766	0.494268	0.012825	0.481443	
MZ22528939	MZ22524733	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22528880	MZ22502673	0	1.000000	0.882124	0.880990	0.896859	-0.015868	
MZ22530775	MZ22520491	0	0.000000	0.740677	0.624087	0.653539	-0.029451	
MZ22522161	MZ22502612	0	0.000000	0.500000	0.428571	0.428571	0.000000	
MZ22521767	MZ22521498	16	0.297340	0.464213	1.000000	0.422495	0.577505	
MZ22513427	MZ22511280	0	0.000000	0.764706	0.684211	0.684211	-0.000000	
MZ22520278	MZ22523370	59	0.012603	0.099337	0.843939	0.066812	0.777127	
MZ22529209	MZ22524733	0	0.109079	1.000000	0.772971	0.895186	-0.122215	
MZ22509118	MZ22500963	48	0.256168	-0.193873	-0.003467	-0.093864	0.090397	
MZ22529135	MZ22515350	32	0.024075	-0.017548	0.861803	-0.012923	0.874727	
MZ22528813	MZ22524150	0	0.000000	1.000000	0.882353	0.882353	0.000000	
MZ22531015	MZ22525780	28	0.054255	-0.016198	1.000000	-0.007391	1.007391	
MZ22527979	MZ22510562	0	0.772741	0.933333	0.755242	0.914440	-0.159198	
MZ22522486	MZ22516705	48	-0.022974	0.174812	0.312490	0.125365	0.187125	
MZ22527539	MZ22524913	0	0.000000	0.857143	0.750000	0.750000	-0.000000	
MZ22530641	MZ22515923	0	0.000000	1.000000	0.882353	0.882353	0.000000	
MZ22524393	MZ22513599	33	0.216611	0.090989	0.875875	0.113158	0.762718	
MZ22528797	MZ22519827	30	0.003897	-0.015156	0.732074	-0.012914	0.744989	
MZ22528875	MZ22513314	0	0.859839	0.514403	0.463286	0.557583	-0.094296	
MZ22503562	MZ22507874	30	-0.126194	0.465470	0.818521	0.366859	0.451662	
MZ22528169	MZ22512960	0	-0.500000	0.642857	0.500000	0.500000	0.000000	
MZ22506809	MZ22509191	39	-0.193607	0.300546	0.931958	0.222522	0.709436	
MZ22520997	MZ22515611	0	0.326845	1.000000	0.723227	0.873783	-0.150556	
MZ22531194	MZ22517741	0	0.000000	0.871636	0.745402	0.762682	-0.017280	
MZ22530125	MZ22523278	24	0.141341	0.025814	1.000000	0.039405	0.960595	
MZ22530426	MZ22523278	0	-0.500000	0.025814	-0.125651	-0.036046	-0.089604	
MZ22528765	MZ22520257	26	0.117721	-0.030886	1.000000	-0.012310	1.012310	
MZ22528218	MZ22509788	0	1.000000	0.489002	0.516451	0.516624	-0.000173	
MZ22530161	MZ22515305	0	0.738963	0.640567	0.490257	0.657931	-0.167674	
MZ22528909	MZ22516877	32	0.012807	-0.012586	1.000000	-0.009765	1.009765	
MZ22516940	MZ22516071	0	0.666667	0.577681	0.575295	0.594366	-0.019071	
MZ22508040	MZ22503867	0	-0.339057	0.333333	0.173090	0.221268	-0.048178	
MZ22528963	MZ22521696	0	0.129838	1.000000	0.759625	0.891230	-0.131605	
MZ22528983	MZ22509788	0	1.000000	0.489002	0.516451	0.516624	-0.000173	
MZ22528651	MZ22504918	0	0.750000	0.086849	0.040462	0.234216	-0.193754	
MZ22506348	MZ22507135	42	0.022845	-0.000628	0.918516	0.003514	0.915001	
MZ22506632	MZ22502318	35	0.555036	-0.106270	0.152597	-0.001853	0.154450	
MZ22530558	MZ22506226	0	1.000000	0.940128	0.939552	0.947612	-0.008060	
MZ22528532	MZ22523837	26	0.273290	0.028614	1.000000	0.055800	0.944200	
MZ22528993	MZ22513478	0	-0.500000	1.000000	0.823529	0.823529	0.000000	
MZ22510658	MZ22509401	27	0.141884	0.436988	0.938710	0.387804	0.550906	
MZ22504397	MZ22500913	66	0.001387	0.061681	0.044201	0.040401	0.003801	
MZ22518612	MZ22503849	24	0.674604	0.084059	0.295479	0.188273	0.107206	
MZ22530094	MZ22523230	0	0.000000	0.882631	0.770651	0.784561	-0.013910	
MZ22518279	MZ22511606	42	0.129083	-0.073432	1.000000	-0.037694	1.037694	
MZ22526887	MZ22512079	0	0.976067	0.800000	0.778479	0.820714	-0.042234	
MZ22519119	MZ22518135	7	-0.422445	0.308975	0.089929	0.171834	-0.081905	
MZ22523024	MZ22514750	0	0.500000	0.983366	0.871970	0.875951	-0.003981	
MZ22530435	MZ22514296	0	1.000000	0.857143	0.875000	0.875000	-0.000000	
